year,day,low,open,high,close,volumn
2017, 0922, 381682, 382646, 384225, 383773, 10061980200
2017, 0925, 381112, 382922, 383539, 381779, 10394897600
2017, 0926, 380838, 381033, 382169, 382078, 8186940700
2017, 0927, 381881, 381896, 383257, 382120, 8565581100
2017, 0928, 381375, 382159, 382733, 382254, 9354406900
2017, 0929, 382520, 382520, 385222, 383650, 9330602800
2017, 1009, 387603, 391011, 391884, 388221, 13553585000
2017, 1010, 385547, 388300, 390074, 388986, 11253258600
2017, 1011, 388550, 388682, 391307, 390269, 10441815100
2017, 1012, 389755, 390202, 391744, 391295, 9434092100
2017, 1013, 390889, 391298, 392717, 392100, 9014206800
2017, 1016, 391332, 392628, 394742, 391345, 12135503300
2017, 1017, 390048, 391079, 392461, 391307, 8224122700
2017, 1018, 391482, 391482, 394441, 394416, 10096984100
2017, 1019, 392365, 394058, 394403, 393125, 10652725200
2017, 1020, 391020, 391853, 392896, 392685, 7298018000
2017, 1023, 392066, 393089, 393627, 393080, 8148498000
2017, 1024, 392203, 392623, 395950, 395940, 9305815400
2017, 1025, 395400, 395817, 397809, 397695, 8820545800
2017, 1026, 397355, 398005, 401360, 399358, 12989546500
2017, 1027, 399135, 399255, 402446, 402197, 12667284600
2017, 1030, 396027, 402216, 403334, 400972, 15738760000
2017, 1031, 398326, 399539, 400928, 400672, 10917877900
2017, 1101, 399132, 400791, 403246, 399662, 13041738000
2017, 1102, 397138, 399409, 399923, 399713, 12610057900
2017, 1103, 396303, 399235, 399934, 399270, 12940443900
2017, 1106, 397541, 398918, 402164, 402089, 12208115900
2017, 1107, 402136, 402240, 406422, 405425, 15211666000
2017, 1108, 404058, 405149, 408915, 404801, 15082772000
2017, 1109, 403840, 404307, 407661, 407590, 12105633500
2017, 1110, 406766, 407028, 411671, 411191, 14181717000
2017, 1113, 411555, 411555, 413765, 412807, 15144631000
2017, 1114, 408689, 412927, 413355, 409935, 14323694000
2017, 1115, 405572, 408421, 410281, 407367, 12063569600
2017, 1116, 406227, 406349, 410762, 410501, 12138441400
2017, 1117, 408137, 409408, 412238, 412085, 19178412000
2017, 1120, 406096, 409373, 414451, 414383, 13744726000
2017, 1121, 412998, 413185, 422026, 421770, 18035082000
2017, 1122, 419115, 422837, 426064, 422757, 18647700000
2017, 1123, 408690, 421338, 421419, 410240, 17814723000
2017, 1124, 405749, 408947, 411659, 410420, 13085804000
2017, 1127, 403715, 408893, 408893, 404995, 14345527000
2017, 1128, 401030, 403421, 405648, 405582, 10205809500
2017, 1129, 400469, 406135, 406924, 405375, 12455364200
2017, 1130, 398800, 403401, 405280, 400610, 10798334500
2017, 1201, 398438, 400356, 402711, 399814, 9738691300
2017, 1204, 398232, 398905, 403299, 401886, 10264721900
2017, 1205, 400654, 400794, 404593, 404017, 15408708000
2017, 1206, 396481, 402712, 403175, 401582, 10928620500
2017, 1207, 395599, 400358, 401795, 397106, 9025404500
2017, 1208, 395544, 396283, 401414, 400338, 8928286100
2017, 1211, 400527, 400688, 406950, 406950, 9714894600
2017, 1212, 401545, 406851, 407015, 401602, 8433871800
2017, 1213, 400474, 401383, 405269, 405009, 7754613100
